,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2004-02-18,6027.02001953125,-0.8953,0.08,0.853,0.067,6060.14013671875,6082.7998046875,6018.81005859375,31200.0
2004-02-19,5855.10009765625,-0.9915,0.126,0.773,0.101,6041.35986328125,6041.35986328125,5845.06982421875,40400.0
2004-02-20,5850.72021484375,-0.9593,0.079,0.859,0.062,5847.97021484375,5893.6201171875,5770.8701171875,41000.0
2004-02-23,5698.0400390625,-0.8994,0.107,0.796,0.097,5869.60986328125,5875.22998046875,5680.35986328125,28600.0
2004-02-24,5734.43994140625,-0.9943,0.118,0.82,0.062,5686.81005859375,5748.14990234375,5606.83984375,42400.0
2004-02-25,5618.14990234375,-0.9962,0.133,0.789,0.078,5746.7900390625,5746.7900390625,5606.85986328125,33800.0
2004-02-26,5567.1201171875,-0.9974,0.113,0.83,0.057,5639.830078125,5723.31005859375,5556.31005859375,34400.0
2004-02-27,5667.509765625,-0.996,0.128,0.796,0.076,5595.830078125,5683.2900390625,5551.64013671875,41600.0
2004-03-01,5823.169921875,-0.9825,0.103,0.827,0.07,5649.2998046875,5831.5498046875,5649.2998046875,32200.0
2004-03-03,5842.2001953125,-0.9972,0.115,0.846,0.039,5830.77001953125,5870.6298828125,5792.97021484375,39400.0
2004-03-04,5815.8701171875,-0.9909,0.126,0.788,0.086,5842.41015625,5872.75,5769.33984375,36200.0
2004-03-05,5880.35009765625,-0.9155,0.074,0.862,0.064,5834.3701171875,5892.77978515625,5818.77001953125,37600.0
2004-03-08,5935.18994140625,-0.9107,0.077,0.868,0.055,5899.259765625,5951.02978515625,5898.56982421875,36400.0
2004-03-09,5850.60986328125,-0.9959,0.125,0.801,0.074,5923.35009765625,5923.35009765625,5794.81982421875,37600.0
2004-03-10,5759.2900390625,-0.9934,0.125,0.808,0.068,5833.18994140625,5833.18994140625,5745.56005859375,35000.0
2004-03-11,5649.85986328125,-0.9817,0.125,0.774,0.101,5737.68994140625,5763.7099609375,5634.39990234375,36200.0
2004-03-12,5700.39990234375,-0.9973,0.155,0.761,0.084,5632.1298828125,5735.93994140625,5570.81005859375,38400.0
2004-03-15,5520.66015625,-0.9938,0.143,0.776,0.081,5745.06005859375,5764.2001953125,5505.97998046875,38400.0
2004-03-16,5525.08984375,-0.9948,0.125,0.798,0.077,5471.169921875,5551.919921875,5434.97021484375,40800.0
2004-03-17,5535.68994140625,-0.7188,0.123,0.758,0.119,5545.830078125,5560.14990234375,5482.6298828125,33400.0
2004-03-18,5414.93994140625,-0.9953,0.115,0.819,0.066,5539.72021484375,5540.68017578125,5399.0498046875,36000.0
2004-03-19,5443.43994140625,-0.4871,0.085,0.838,0.077,5410.47998046875,5496.68017578125,5386.6201171875,30600.0
2004-03-22,5365.39990234375,0.8697,0.087,0.813,0.1,5446.8798828125,5446.8798828125,5347.0498046875,25400.0
2004-03-23,5400.990234375,-0.9898,0.104,0.819,0.077,5356.97021484375,5450.3798828125,5324.77978515625,31800.0
2004-03-24,5395.27978515625,-0.9705,0.105,0.81,0.085,5412.1298828125,5435.39990234375,5345.14990234375,26600.0
2004-03-25,5414.43994140625,0.125,0.087,0.835,0.078,5403.3798828125,5438.85986328125,5368.8798828125,27000.0
2004-03-26,5528.93994140625,-0.9914,0.116,0.803,0.081,5448.2900390625,5552.33984375,5448.2900390625,32400.0
2004-03-29,5571.3701171875,-0.9963,0.105,0.847,0.049,5538.52001953125,5578.740234375,5495.31005859375,27800.0
2004-03-30,5520.43994140625,-0.9966,0.141,0.787,0.071,5595.93017578125,5608.31005859375,5509.580078125,26600.0
2004-03-31,5590.60009765625,-0.9966,0.116,0.827,0.057,5513.1201171875,5599.60009765625,5493.1201171875,26200.0
2004-04-01,5740.85009765625,-0.9973,0.142,0.783,0.075,5599.1201171875,5750.2900390625,5599.1201171875,28400.0
